timestamp,day_of_week,applied_torque_nm,screwdriving_speed_rpm,motor_current_a,press_pressure_bar,operator_cycle_time_s,relative_humidity_pct,shop_floor_temp_c,line_vibration_mm_s,operator_experience_yrs,shift_change,material_batch,is_scrap
2025-02-24 22:00:00,5,1.71,844.1,2.27,4.88,18.78,66.7,24.4,1.42,7,0,46,0
2025-02-14 20:00:00,2,1.65,967.0,2.55,5.19,15.04,74.0,26.4,2.82,6,0,1,0
2025-02-06 15:00:00,1,1.91,740.2,2.56,5.08,18.68,49.5,23.6,0.89,11,0,44,0
2025-02-21 16:00:00,2,2.0,670.4,2.77,4.46,21.08,64.4,22.6,2.77,10,0,31,0
2025-01-29 14:00:00,0,1.78,716.0,2.46,5.53,15.3,32.5,25.3,1.18,14,0,46,1
2025-02-21 15:00:00,2,1.65,743.7,2.21,5.05,14.95,43.7,24.9,0.64,4,0,43,0
2025-02-20 11:00:00,1,1.65,722.1,2.4,5.43,18.78,46.7,22.9,1.14,8,0,4,0
2025-01-11 18:00:00,3,1.92,807.5,2.42,4.42,19.92,42.7,22.9,0.85,2,0,29,0
2025-01-02 15:00:00,1,1.93,900.2,2.66,4.62,20.04,43.6,25.5,1.05,6,0,7,0
2025-02-17 09:00:00,5,1.9,923.2,2.53,4.8,22.91,44.9,22.3,0.97,1,0,38,0
2025-02-26 20:00:00,0,1.68,840.3,2.47,5.12,19.37,57.0,20.4,1.98,14,1,50,0
2025-01-15 10:00:00,0,1.84,971.3,2.52,4.95,13.86,25.1,20.6,1.48,8,0,10,0
2025-02-14 12:00:00,2,1.82,771.5,2.52,5.68,18.87,42.0,21.0,2.04,1,0,5,0
2025-02-15 08:00:00,3,1.84,669.4,2.45,5.52,20.97,59.0,21.0,1.52,5,0,27,1
2025-02-23 12:00:00,4,1.96,884.3,2.69,4.64,16.45,54.5,25.0,1.96,12,0,17,0
2025-01-17 17:00:00,2,1.84,652.9,2.57,6.47,18.77,47.1,23.2,2.77,12,1,42,0
2025-01-17 21:00:00,2,1.92,739.6,2.99,4.96,12.97,33.1,25.5,4.73,11,1,16,0
2025-01-23 06:00:00,1,1.81,841.6,2.42,5.65,17.3,46.7,24.4,1.74,10,0,36,0
2025-02-08 10:00:00,3,1.85,791.8,2.5,4.86,21.99,59.6,23.9,1.11,15,0,3,0
2025-01-16 07:00:00,1,1.91,784.7,2.66,5.31,16.77,53.5,24.5,1.81,15,1,13,1
2025-02-06 12:00:00,1,1.54,705.5,2.55,5.48,15.36,36.8,25.9,2.62,6,0,27,1
2025-02-18 09:00:00,6,1.74,799.1,2.37,4.25,22.9,47.5,22.2,1.4,15,0,10,1
2025-02-27 07:00:00,1,1.72,880.3,2.32,5.87,19.54,45.5,25.3,1.55,10,0,40,0
2025-02-08 15:00:00,3,1.68,801.6,2.28,4.61,20.39,29.2,24.9,1.88,0,0,32,1
2025-01-01 09:00:00,0,1.75,733.6,2.29,4.82,19.03,30.8,26.5,0.44,11,1,16,0
2025-01-31 14:00:00,2,2.07,700.2,2.79,4.7,16.31,34.7,18.9,1.32,3,0,3,0
2025-02-12 09:00:00,0,1.64,735.2,3.0,4.72,17.34,70.9,25.5,6.0,13,0,23,1
2025-02-24 18:00:00,5,1.97,831.4,2.63,4.74,22.15,60.6,25.2,1.62,3,0,5,0
2025-01-12 19:00:00,4,1.5,827.5,2.14,4.4,16.28,36.3,22.2,0.94,7,0,6,1
2025-01-18 18:00:00,3,1.74,736.0,2.26,5.38,21.97,71.7,22.7,0.32,14,1,28,0
2025-02-16 22:00:00,4,1.83,623.1,2.72,5.06,18.87,61.1,22.2,2.35,12,0,43,1
2025-01-21 19:00:00,6,1.91,833.6,2.73,4.93,18.89,59.3,23.1,1.41,2,0,2,0
2025-01-27 07:00:00,5,1.93,728.2,2.98,5.51,13.82,73.8,25.8,3.92,15,0,38,0
2025-01-04 10:00:00,3,1.94,855.1,2.7,5.88,19.06,47.2,22.7,1.9,6,0,2,0
2025-01-15 11:00:00,0,1.74,739.5,2.33,4.22,17.84,51.2,27.9,1.1,8,0,14,1
2025-02-15 17:00:00,3,1.72,721.0,2.21,5.81,17.25,59.0,21.4,0.3,0,0,6,1
2025-01-26 08:00:00,4,1.95,812.3,2.54,4.99,19.93,71.6,19.2,1.27,0,0,3,0
2025-02-13 08:00:00,1,1.77,988.6,2.4,4.32,16.94,68.7,21.4,1.48,7,0,9,1
2025-01-19 18:00:00,4,1.57,859.9,2.33,5.21,18.66,58.8,23.5,1.72,5,0,18,1
2025-02-12 11:00:00,0,1.6,810.9,2.28,4.94,19.1,68.6,24.6,0.94,0,0,21,0
2025-02-15 13:00:00,3,1.63,828.7,2.35,5.43,14.64,42.3,24.9,1.59,1,0,14,1
2025-02-05 15:00:00,0,1.89,659.9,2.76,5.07,18.77,51.5,21.1,3.18,11,1,33,0
2025-02-06 12:00:00,1,1.83,710.2,2.57,5.18,17.01,63.2,23.7,1.99,9,0,29,0
2025-02-14 14:00:00,2,1.92,600.0,2.44,4.78,17.16,26.3,23.0,1.35,8,0,2,0
2025-01-12 19:00:00,4,1.72,938.4,2.52,4.49,14.95,63.4,27.2,1.72,9,0,49,1
2025-01-13 10:00:00,5,1.83,922.2,2.47,5.37,18.84,54.4,22.7,1.64,15,1,12,0
2025-01-02 16:00:00,1,1.91,831.4,2.5,4.74,19.6,59.8,25.1,1.94,7,0,3,0
2025-02-06 13:00:00,1,1.74,810.8,2.89,5.2,18.69,68.7,24.5,4.34,15,0,35,0
2025-02-17 14:00:00,5,1.88,675.9,2.4,5.74,17.08,47.5,27.4,0.3,4,0,46,1
2025-01-26 15:00:00,4,1.68,782.5,2.27,4.92,14.88,38.2,25.2,1.38,12,1,23,0
2025-02-11 08:00:00,6,1.74,943.4,2.46,5.35,15.87,73.2,21.3,1.38,10,0,31,0
2025-01-22 12:00:00,0,1.73,810.5,2.55,4.99,16.14,71.1,29.1,2.03,4,0,1,0
2025-02-22 12:00:00,3,1.58,754.8,2.38,4.82,23.45,43.5,24.5,0.75,1,0,5,0
2025-01-18 13:00:00,3,1.89,659.4,2.47,4.22,23.57,27.0,27.6,1.21,1,0,17,0
2025-01-21 06:00:00,6,1.72,910.4,2.73,4.98,18.78,43.7,24.9,3.73,10,0,8,1
2025-01-14 10:00:00,6,1.8,794.4,2.41,4.92,18.07,30.6,24.1,1.55,2,1,45,0
2025-02-13 10:00:00,1,1.89,659.5,2.93,4.57,21.26,25.6,24.5,3.84,9,0,2,0
2025-01-15 21:00:00,0,1.88,726.1,2.4,3.98,19.57,48.7,19.4,0.62,11,0,3,0
2025-02-11 21:00:00,6,1.92,697.8,2.88,4.16,12.81,38.4,21.3,2.99,11,0,30,0
2025-01-21 11:00:00,6,1.78,789.5,2.71,5.89,22.45,48.7,24.9,3.5,2,1,24,0
2025-01-29 11:00:00,0,1.72,816.6,2.45,5.02,19.05,51.3,28.3,1.5,1,0,24,0
2025-02-05 09:00:00,0,1.79,759.7,2.33,4.28,20.35,54.9,21.6,0.83,4,0,1,1
2025-01-27 16:00:00,5,1.5,862.2,2.04,4.7,19.18,33.8,25.6,1.5,7,0,34,0
2025-02-23 08:00:00,4,1.54,806.3,2.29,5.0,17.23,56.6,26.5,1.31,1,1,24,0
2025-01-08 19:00:00,0,1.56,885.0,2.66,5.22,16.83,64.3,25.5,5.22,7,0,44,1
2025-02-28 21:00:00,2,1.62,771.4,2.7,4.88,14.99,52.4,22.7,4.15,0,0,16,0
2025-01-01 11:00:00,0,1.87,1000.0,2.44,6.01,16.06,72.5,24.7,1.07,2,0,31,0
2025-02-19 14:00:00,0,1.64,754.8,2.48,6.03,18.74,50.2,19.3,2.49,6,1,14,0
2025-02-21 08:00:00,2,1.73,727.7,2.39,5.19,18.17,74.7,29.1,1.32,9,0,44,1
2025-01-02 08:00:00,1,2.03,717.9,2.72,4.82,16.26,51.8,29.8,1.9,6,1,30,0
2025-01-29 09:00:00,0,1.74,783.1,2.44,5.19,19.04,65.6,24.5,1.4,11,1,40,1
2025-02-13 20:00:00,1,1.93,662.4,2.54,4.34,18.28,71.4,23.7,1.34,3,0,11,0
2025-01-17 15:00:00,2,1.63,823.6,2.54,5.5,23.87,33.4,24.8,1.18,1,1,21,0
2025-02-05 11:00:00,0,1.76,647.6,2.5,5.09,17.2,63.9,28.0,2.17,14,1,47,0
2025-02-12 07:00:00,0,1.63,812.9,2.23,4.4,17.62,66.2,24.4,1.69,6,0,49,1
2025-01-21 08:00:00,6,1.74,691.9,2.22,4.71,14.87,34.3,22.2,1.1,9,0,35,0
2025-02-26 08:00:00,0,1.95,769.5,2.62,5.29,14.95,47.8,25.5,1.3,11,0,19,0
2025-02-27 06:00:00,1,1.49,848.4,2.14,4.17,20.83,63.2,24.6,2.04,4,0,15,0
2025-01-22 22:00:00,0,1.88,984.3,2.83,4.55,25.21,30.3,24.4,4.32,1,1,19,1
2025-02-18 19:00:00,6,1.84,713.8,2.39,4.77,18.51,38.7,25.0,1.66,13,0,27,0
2025-02-07 15:00:00,2,1.69,788.0,2.46,5.49,17.19,33.2,22.3,1.77,10,0,19,0
2025-02-12 21:00:00,0,1.54,742.1,2.33,5.86,16.82,38.8,22.1,1.12,8,0,23,0
2025-01-13 10:00:00,5,1.81,730.4,2.39,5.19,22.39,50.4,19.2,1.58,13,1,32,0
2025-02-28 18:00:00,2,1.7,742.8,2.47,3.5,10.0,33.5,23.2,1.75,7,1,2,1
2025-01-01 10:00:00,0,1.84,865.9,2.52,4.44,25.51,36.3,22.9,3.37,0,0,19,0
2025-01-05 12:00:00,4,1.8,761.0,2.46,6.5,18.2,35.1,22.6,1.92,12,0,8,1
2025-01-30 22:00:00,1,2.09,979.9,2.78,5.08,12.29,70.3,26.3,1.65,12,1,36,0
2025-02-14 07:00:00,2,1.76,833.3,2.39,3.7,24.15,44.2,28.3,1.42,5,0,33,0
2025-01-12 14:00:00,4,1.62,719.2,2.42,6.19,11.99,47.4,20.9,1.55,3,0,10,0
2025-01-24 10:00:00,2,1.83,770.7,2.32,4.33,12.36,30.8,26.9,1.85,12,0,15,0
2025-02-04 08:00:00,6,1.84,735.9,2.6,5.29,18.73,53.8,22.5,2.66,0,1,41,0
2025-01-05 08:00:00,4,2.04,864.0,2.75,4.43,20.67,34.4,23.4,1.8,0,1,23,0
2025-01-24 09:00:00,2,1.95,668.9,2.69,6.1,21.0,52.8,22.5,1.9,13,0,19,0
2025-01-19 20:00:00,4,1.86,692.7,2.58,4.29,17.14,52.1,22.0,1.6,3,0,15,0
2025-01-09 18:00:00,1,2.06,752.7,2.84,4.71,15.91,51.2,27.1,2.45,12,1,33,1
2025-02-03 21:00:00,5,1.59,854.6,2.07,5.52,18.58,46.9,22.0,0.77,8,1,12,0
2025-02-13 17:00:00,1,1.68,898.6,2.16,4.72,17.22,32.6,27.5,0.63,14,0,41,0
2025-02-16 10:00:00,4,1.63,910.4,2.58,5.24,22.18,42.5,25.4,1.58,13,1,1,0
2025-02-22 13:00:00,3,1.73,842.4,2.33,5.42,21.86,43.7,25.3,1.83,7,1,30,0
2025-02-22 20:00:00,3,1.55,793.4,1.94,5.09,16.49,61.6,22.0,0.3,11,0,35,0
2025-01-24 11:00:00,2,1.91,863.6,2.62,4.44,17.14,74.4,29.5,1.5,2,0,3,1
2025-02-04 10:00:00,6,1.76,708.4,2.54,4.61,13.68,60.7,24.1,2.94,14,1,46,0
2025-02-18 18:00:00,6,1.54,652.4,2.78,4.81,19.58,47.5,21.8,3.81,14,0,13,1
2025-02-20 12:00:00,1,1.62,834.9,2.62,5.29,17.87,39.4,23.3,1.71,4,0,12,0
2025-02-18 10:00:00,6,1.86,719.5,2.35,5.41,18.97,33.7,23.3,0.6,8,0,16,0
2025-02-14 22:00:00,2,1.95,794.8,2.54,5.1,19.58,32.2,23.7,0.96,14,0,10,0
2025-02-15 12:00:00,3,2.16,809.6,2.51,5.35,21.89,32.6,24.6,1.1,5,0,23,0
2025-02-12 13:00:00,0,2.32,819.8,3.0,4.2,19.3,53.4,23.3,1.87,1,0,47,1
2025-02-01 21:00:00,3,1.88,875.0,2.33,5.15,19.12,50.6,21.4,1.69,15,1,40,0
2025-01-07 21:00:00,6,1.62,866.6,2.14,4.97,21.92,66.8,20.9,1.19,3,0,38,1
2025-02-05 10:00:00,0,1.42,815.6,2.18,5.25,17.71,46.3,24.2,1.57,2,1,20,0
2025-01-08 18:00:00,0,1.85,764.6,2.48,5.38,18.96,41.7,18.3,0.97,7,1,14,0
2025-02-25 14:00:00,6,1.65,808.6,2.35,4.47,24.6,25.6,28.6,2.52,7,0,35,0
2025-02-15 19:00:00,3,1.72,752.3,2.43,4.94,18.7,36.7,23.3,2.03,3,1,40,0
2025-01-13 08:00:00,5,1.69,784.3,2.27,5.67,22.82,70.1,26.0,1.89,14,1,44,0
2025-01-27 10:00:00,5,1.78,1000.0,2.52,5.15,18.53,33.1,23.4,2.19,0,0,8,0
2025-02-07 06:00:00,2,1.99,814.6,2.62,4.95,16.86,32.4,27.4,2.01,14,0,41,0
2025-02-16 13:00:00,4,1.83,836.0,2.43,4.39,13.31,49.4,22.0,1.52,10,1,12,1
2025-02-28 13:00:00,2,1.77,743.6,2.49,5.27,19.53,48.0,28.9,1.41,4,0,44,0
2025-01-13 15:00:00,5,1.61,881.6,2.44,4.3,19.79,35.4,24.1,2.14,6,0,41,0
2025-01-18 08:00:00,3,1.5,860.8,2.28,4.91,21.31,36.7,20.3,1.51,1,0,29,1
2025-01-28 16:00:00,6,1.71,861.4,2.62,4.75,19.15,68.6,22.2,3.12,14,0,12,0
2025-01-22 19:00:00,0,1.79,817.2,2.68,5.2,20.19,73.0,24.5,2.48,11,0,7,0
2025-01-12 20:00:00,4,2.12,882.7,2.65,4.7,14.73,37.7,22.7,1.03,15,1,2,0
2025-02-21 07:00:00,2,1.82,901.7,2.31,4.84,21.42,32.8,26.8,0.63,0,0,8,0
2025-02-26 19:00:00,0,1.98,822.6,2.89,4.54,23.38,26.7,21.2,3.0,14,1,1,1
2025-01-20 21:00:00,5,1.71,790.8,2.3,4.88,17.29,73.5,21.4,1.13,13,0,8,0
2025-01-26 10:00:00,4,1.59,871.6,2.29,5.11,15.15,44.7,21.7,1.72,8,1,14,1
2025-02-26 17:00:00,0,1.63,727.7,2.57,4.83,22.09,63.6,24.4,2.41,9,1,18,1
2025-02-10 21:00:00,5,1.67,742.6,2.36,4.84,18.37,50.2,25.3,0.81,4,0,32,0
2025-02-24 06:00:00,5,2.18,795.7,2.74,5.08,17.93,47.2,21.0,1.48,8,0,8,0
2025-01-09 19:00:00,1,1.65,660.7,2.54,5.5,17.84,74.7,25.9,2.24,15,1,49,1
2025-01-01 11:00:00,0,1.95,866.2,2.51,5.37,21.23,38.5,25.8,1.84,13,1,46,1
2025-01-25 21:00:00,3,1.64,723.0,2.29,4.35,16.62,64.9,24.0,1.41,5,0,40,0
2025-01-28 09:00:00,6,1.97,762.3,2.65,5.38,23.24,63.4,21.6,2.37,8,1,36,0
2025-01-06 13:00:00,5,1.87,782.9,2.51,5.68,18.21,47.6,24.7,1.45,6,0,41,0
2025-01-18 22:00:00,3,1.77,803.1,2.55,5.35,21.28,63.2,22.3,1.7,5,1,10,1
2025-01-24 16:00:00,2,1.79,772.5,2.64,3.79,21.51,64.3,24.8,2.33,10,1,29,1
2025-01-15 12:00:00,0,1.68,794.6,2.49,5.13,16.59,34.1,22.3,1.99,6,1,27,0
2025-01-06 16:00:00,5,1.88,795.2,2.64,5.69,19.19,27.8,22.4,2.16,10,0,9,0
2025-01-17 07:00:00,2,1.72,764.2,2.32,4.78,17.33,44.6,20.6,1.05,15,0,24,0
2025-02-23 09:00:00,4,1.58,738.1,2.5,6.45,21.82,41.6,25.0,2.11,1,0,29,0
2025-01-26 19:00:00,4,1.57,886.5,2.14,3.91,17.85,48.7,23.4,1.58,6,0,7,0
2025-01-15 07:00:00,0,1.83,631.6,2.37,5.07,13.29,34.4,26.0,1.13,3,0,10,0
2025-01-16 10:00:00,1,2.08,783.5,2.75,5.36,23.01,38.8,27.9,1.61,1,0,22,0
2025-02-08 08:00:00,3,1.83,762.5,2.66,5.09,15.22,61.1,22.6,1.6,0,0,34,1
2025-01-19 09:00:00,4,1.78,833.5,2.55,5.08,18.35,46.6,20.9,2.43,5,0,34,1
2025-01-26 11:00:00,4,1.85,683.7,2.93,4.48,25.28,67.0,25.1,4.52,1,0,29,0
2025-02-18 07:00:00,6,2.04,760.0,2.47,4.71,21.5,65.7,27.4,1.11,11,0,26,1
2025-02-06 11:00:00,1,1.84,791.8,2.8,5.29,19.01,25.8,21.6,3.9,5,0,22,0
2025-02-13 20:00:00,1,1.73,885.6,2.47,3.94,16.72,51.1,21.8,1.48,3,0,30,1
2025-02-03 17:00:00,5,2.0,826.6,2.68,5.45,17.84,29.5,23.1,0.83,15,0,34,0
2025-01-02 12:00:00,1,1.88,705.3,2.44,4.94,20.63,69.4,28.0,1.14,10,0,12,0
2025-01-05 13:00:00,4,2.08,761.0,2.59,5.28,16.03,32.4,22.2,1.38,12,0,37,0
2025-01-26 22:00:00,4,1.83,870.9,2.47,5.42,18.83,25.9,25.4,1.29,12,1,39,0
2025-01-07 13:00:00,6,1.58,703.9,2.18,6.5,15.87,35.2,23.6,1.86,3,0,2,1
2025-01-23 11:00:00,1,1.55,793.7,2.34,5.7,17.9,50.9,27.2,1.13,10,1,40,1
2025-01-17 15:00:00,2,2.1,799.3,2.4,4.4,17.76,44.8,25.0,0.3,1,0,48,0
2025-01-25 07:00:00,3,2.11,769.1,2.62,6.08,19.04,40.5,25.8,0.66,8,0,23,0
2025-02-27 13:00:00,1,1.77,1000.0,2.47,3.64,20.37,61.1,23.5,1.49,15,1,12,1
2025-01-12 10:00:00,4,1.73,767.0,2.77,4.78,23.38,50.9,21.7,3.5,3,0,28,1
2025-01-23 18:00:00,1,2.06,836.0,2.61,5.09,18.86,28.7,25.4,0.88,11,1,14,0
2025-02-23 08:00:00,4,1.6,738.7,2.45,4.84,20.55,61.8,25.6,2.48,0,0,29,0
2025-01-19 08:00:00,4,1.64,842.2,2.44,5.14,22.3,43.0,22.5,1.91,8,1,38,0
2025-02-26 11:00:00,0,1.92,869.7,2.64,4.92,17.94,63.7,23.5,1.47,2,0,12,0
2025-01-26 15:00:00,4,1.73,753.0,2.6,5.64,18.24,68.2,25.3,1.62,15,0,22,1
2025-02-18 19:00:00,6,1.8,795.6,2.33,4.76,19.52,42.5,19.5,1.37,7,0,42,0
2025-02-28 18:00:00,2,1.77,728.4,2.16,4.94,17.6,61.9,23.0,0.87,15,1,35,0
2025-02-03 19:00:00,5,1.86,708.4,2.44,5.89,18.5,42.7,24.2,2.02,14,0,38,1
2025-02-28 13:00:00,2,2.05,882.9,2.55,5.48,17.01,39.3,23.7,1.93,1,1,34,1
2025-02-12 17:00:00,0,1.82,755.7,2.21,4.92,17.2,56.5,25.2,0.51,8,0,11,1
2025-01-12 12:00:00,4,1.92,606.9,2.44,5.24,23.37,42.5,19.1,1.61,10,0,31,0
2025-01-11 19:00:00,3,1.43,941.2,2.15,5.94,17.64,35.9,24.1,1.67,6,0,44,0
2025-02-28 19:00:00,2,1.79,735.8,2.52,4.31,20.18,54.1,20.3,1.34,11,1,31,1
2025-01-14 13:00:00,6,1.65,780.3,2.56,4.46,12.38,32.2,25.9,2.55,7,1,11,0
2025-02-16 08:00:00,4,1.58,931.3,2.38,4.71,19.1,25.3,23.2,2.49,13,0,1,0
2025-01-24 09:00:00,2,1.64,788.7,2.26,5.11,22.94,35.3,21.6,1.31,10,0,25,1
2025-01-13 16:00:00,5,1.74,786.9,2.6,5.48,15.88,48.4,20.8,1.39,7,0,49,0
2025-01-30 11:00:00,1,1.96,701.7,2.63,4.62,22.02,46.5,25.5,1.33,13,1,18,0
2025-01-16 06:00:00,1,1.56,669.2,2.24,4.53,16.45,58.9,24.0,1.19,10,0,9,0
2025-02-13 16:00:00,1,1.81,786.7,2.41,4.34,13.86,73.3,25.4,1.04,4,0,34,1
2025-01-16 19:00:00,1,1.71,829.0,2.4,4.53,16.91,35.9,23.3,1.75,5,0,25,1
2025-01-09 21:00:00,1,1.74,824.4,2.76,4.67,20.74,26.0,19.2,2.48,1,1,10,0
2025-02-07 09:00:00,2,1.98,761.5,3.0,3.92,19.8,38.2,27.4,4.54,6,1,34,1
2025-02-12 09:00:00,0,1.9,801.6,2.62,4.72,17.24,44.4,25.3,1.9,9,0,41,1
2025-02-12 08:00:00,0,2.04,653.0,2.31,4.47,15.5,53.4,26.3,0.3,9,0,7,0
2025-02-26 17:00:00,0,1.77,836.8,2.24,4.92,20.32,67.5,20.0,0.57,12,1,50,0
2025-02-15 12:00:00,3,1.68,812.9,2.39,5.85,20.93,43.9,30.8,2.03,3,0,24,0
2025-02-07 22:00:00,2,1.76,957.9,2.6,4.2,19.62,45.1,26.0,2.31,6,0,49,0
2025-02-04 18:00:00,6,1.84,800.6,2.46,5.51,18.45,35.1,30.1,1.78,12,0,1,1
2025-01-07 09:00:00,6,1.83,724.6,2.47,5.83,18.57,64.7,24.1,1.35,11,1,28,0
2025-02-09 08:00:00,4,1.6,795.9,2.43,5.48,19.83,73.7,24.9,2.68,7,1,5,0
2025-02-23 06:00:00,4,1.82,773.8,2.42,5.17,16.62,43.0,25.1,1.88,12,0,29,0
2025-01-24 08:00:00,2,1.84,834.8,2.47,5.66,20.1,45.0,20.7,2.07,13,0,21,0
2025-01-18 13:00:00,3,2.25,802.2,2.67,5.32,14.8,28.6,25.0,0.57,6,0,16,1
2025-02-23 06:00:00,4,2.14,699.2,2.96,5.56,13.64,48.0,24.6,2.92,12,0,44,0
2025-02-24 07:00:00,5,1.65,669.1,2.46,5.06,19.53,43.1,24.2,2.39,3,0,4,0
2025-02-24 19:00:00,5,1.75,821.0,2.38,4.47,15.32,64.5,23.6,1.76,8,0,40,0
2025-01-21 15:00:00,6,1.54,910.6,2.31,5.58,16.11,37.5,23.8,1.97,3,0,24,0
2025-01-05 13:00:00,4,1.69,806.3,2.86,6.3,15.41,68.9,27.9,4.89,11,0,7,0
2025-02-20 16:00:00,1,1.86,865.1,2.41,4.83,19.45,71.9,22.9,1.55,5,1,22,0
2025-02-27 22:00:00,1,2.02,881.0,2.75,5.01,16.01,38.6,23.4,2.2,13,0,39,0
2025-02-18 21:00:00,6,1.67,821.3,2.49,5.06,23.29,63.9,25.7,1.16,14,1,18,0
2025-02-02 19:00:00,4,1.68,734.8,2.3,4.26,20.97,33.5,25.0,1.12,5,1,1,0
2025-01-17 09:00:00,2,1.41,815.6,1.97,4.58,19.97,51.0,24.9,1.26,0,0,43,0
2025-01-27 17:00:00,5,1.77,896.6,2.59,5.15,22.58,74.3,23.8,1.51,11,1,6,0
2025-01-31 19:00:00,2,1.61,842.4,2.32,4.95,15.66,52.3,21.2,0.7,14,0,1,1
2025-02-07 20:00:00,2,1.7,859.9,2.59,5.01,18.33,44.9,21.0,1.87,14,0,38,0
2025-01-01 10:00:00,0,1.64,763.0,2.32,5.01,13.33,38.8,24.7,1.42,3,1,46,0
2025-01-22 10:00:00,0,1.78,783.8,2.44,4.94,16.87,33.8,22.6,1.93,0,0,45,0
2025-02-08 19:00:00,3,1.48,790.5,1.96,4.62,17.19,72.5,24.7,0.44,1,0,40,1
2025-01-29 19:00:00,0,1.54,795.9,2.43,5.22,22.32,46.2,24.1,1.93,7,1,21,1
2025-01-14 11:00:00,6,2.18,893.4,3.0,5.16,21.15,60.0,27.7,2.17,4,0,15,0
2025-02-07 14:00:00,2,1.57,612.2,2.22,4.56,17.32,40.3,23.1,1.72,2,0,11,1
2025-02-06 22:00:00,1,1.6,802.4,2.06,5.21,23.71,72.6,25.7,1.52,3,0,45,0
2025-01-13 14:00:00,5,2.13,793.6,2.79,4.69,15.89,40.1,21.0,1.93,6,0,9,1
2025-02-13 17:00:00,1,2.32,690.3,2.89,5.33,18.79,56.7,25.4,2.14,0,1,40,1
2025-02-16 18:00:00,4,1.59,853.7,2.26,4.98,16.65,36.6,26.0,1.76,13,0,15,0
